City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Pevek,RU,-7.37,clear sky,69.7008,170.3133,Severnoye Zoloto
81,Vaini,TO,84.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
82,Vila Franca Do Campo,PT,51.8,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
84,Kapaa,US,75.2,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
85,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Barrow,US,-25.6,haze,71.2906,-156.7887,King Eider Inn
88,Ushibuka,JP,54.64,overcast clouds,32.1906,130.0228,Hotei
89,Ajdabiya,LY,56.84,clear sky,30.7554,20.2263,Almadina Hotel
90,Beyneu,KZ,38.1,overcast clouds,45.3167,55.2,NUR
91,Kishtwar,IN,36.46,light rain,33.3167,75.7667,Heritage Bagh by Himalayan Musk
92,Faenza,IT,48.0,fog,44.2857,11.8833,Hotel Vittoria
93,Rikitea,PF,77.49,light rain,-23.1203,-134.9692,Pension Maro'i
94,Half Moon Bay,US,52.0,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
95,Kodiak,US,30.2,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
96,Uaua,BR,75.51,broken clouds,-9.8414,-39.4817,Hotel Uauá
97,Namibe,AO,70.47,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
98,Mazagao,BR,80.6,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
99,Lata,PT,53.01,overcast clouds,40.1629,-8.3327,Casa Maquia
100,Fairview,US,32.0,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
101,Vanimo,PG,78.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
102,Mozarlandia,BR,76.64,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
103,Vaitape,PF,81.55,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
104,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Thompson,CA,-2.2,snow,55.7435,-97.8558,Burntwood Hotel
108,Faanui,PF,80.17,heavy intensity rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Carnarvon,AU,82.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
110,Cabedelo,BR,77.0,clear sky,-6.9811,-34.8339,Hotel Pigalle
111,Vytegra,RU,15.19,snow,61.0064,36.4481,Wardenclyffe Volgo&Balt
112,Rawson,AR,72.18,few clouds,-43.3002,-65.1023,Hosteria Sampedro
113,Fortuna,US,46.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
114,Morwell,AU,82.0,overcast clouds,-38.2333,146.4,Morwell Motel
115,Dingle,PH,80.69,light rain,10.9995,122.6711,SEGAYA PROPERTY
117,Faya,SA,55.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
118,Saint-Philippe,RE,75.99,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Antofagasta,CL,64.4,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
120,Severo-Kurilsk,RU,11.48,light snow,50.6789,156.125,Kak Doma
121,Puerto Ayora,EC,75.99,few clouds,-0.7393,-90.3518,Castillo Galapagos
123,Ponta Do Sol,PT,53.01,scattered clouds,32.6667,-17.1,Hotel do Campo
124,Vermillion,US,39.99,scattered clouds,42.7794,-96.9292,Holiday Inn Express & Suites Vermillion
125,Kijang,KR,42.8,clear sky,35.2442,129.2139,Samyang Beach Villa
126,Mitsamiouli,KM,82.31,scattered clouds,-11.3847,43.2844,Foyer ADM
127,Dunedin,NZ,54.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
128,Brae,GB,33.8,few clouds,60.3964,-1.3530000000000002,Busta House Hotel
129,Banda Aceh,ID,80.6,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
130,Coahuayana,MX,75.2,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
132,Napasar,IN,60.75,overcast clouds,27.9667,73.55,Laxmi Palace
133,Raudeberg,NO,23.0,clear sky,61.9875,5.1352,Nordre Silda.
134,Khandyga,RU,-46.91,few clouds,62.6667,135.6,Apel'sin
135,Kruisfontein,ZA,66.99,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
137,Alice Springs,AU,98.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
138,Tuktoyaktuk,CA,-41.8,clear sky,69.4541,-133.0374,End of The Road Ltd.
139,Los Llanos De Aridane,ES,62.6,overcast clouds,28.6585,-17.9182,Valle Aridane
140,Saint George,US,55.4,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
141,Nanchang,CN,57.42,broken clouds,28.6833,115.8833,Ruidu Hotel
142,Canico,PT,57.2,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
143,Mutoko,ZW,64.0,light rain,-17.397000000000002,32.2268,Mutoko Hotel
144,Bam,IR,43.81,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
145,Kaitangata,NZ,57.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
146,Arlit,NE,59.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
147,Mahon,ES,51.8,fog,39.8885,4.2658,ARTIEM Capri
148,Morgan City,US,48.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
149,Zaysan,KZ,17.28,overcast clouds,47.4667,84.8667,Rahat Hotel
150,Ribeira Grande,PT,55.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
151,Samarai,PG,84.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
152,Chor,PK,58.73,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
153,Parakou,BJ,73.54,few clouds,9.3372,2.6303,Benin Metropole Hotel
155,Moree,AU,91.4,scattered clouds,-29.4667,149.85,Molika Springs Motel
156,Hami,CN,28.58,scattered clouds,42.8,93.45,Laoyutang Resort
157,Bambanglipuro,ID,83.32,overcast clouds,-7.95,110.2833,Puri Brata
158,Illapel,CL,67.96,clear sky,-31.6308,-71.1653,Hotel Londres
159,Marawi,PH,82.0,clear sky,7.9986,124.2928,Derogongan Residence
160,Castro,BR,69.08,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
161,Ust-Uda,RU,22.91,overcast clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
162,Berbera,SO,70.9,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
163,Rincon De La Victoria,ES,57.0,clear sky,36.7172,-4.2758,Hotel Elimar
164,Muros,ES,53.01,clear sky,42.7762,-9.0603,Apartment Av. Castelao
